Number,Volcano Name,Country,Latitude,Longitude,Elevation (m)
1600-21-,Piparo,Trinidad,10.0,-61.0,140.0
1600-08=,"Diables, Morne aux",Dominica,15.612,-61.43,861.0
1600-09=,"Diablotins, Morne",Dominica,15.503,-61.397,1430.0
1600-11=,"Plat Pays, Morne",Dominica,15.255,-61.341,940.0
1600-10=,"Trois Pitons, Morne",Dominica,15.37,-61.33,1387.0
1600-101,"Watt, Morne",Dominica,15.307,-61.305,1224.0
1600-17=,St. Catherine,Grenada,12.15,-61.67,840.0
1600-06=,Soufriere Guadeloupe,Guadeloupe,16.044,-61.664,1467.0
1600-12=,Pelee,Martinique,14.809,-61.165,1394.0
1600-05=,Soufriere Hills,Montserrat,16.72,-62.18,915.0
1600-16=,Kick 'em Jenny,Netherlands,12.3,-61.64,-185.0
1600-04=,Nevis Peak,Netherlands,17.15,-62.58,985.0
1600-02=,"Quill, The",Netherlands,17.478,-62.96,601.0
1600-01=,Saba,Netherlands,17.63,-63.23,887.0
1600-07=,Unnamed,Netherlands,16.13,-61.28,-7.0
1600-03=,Liamuiga,St. Kitts & Nevis,17.37,-62.8,1156.0
1600-14=,Qualibou,St. Lucia,13.83,-61.05,777.0
1600-15=,Soufriere St. Vincent,St. Vincent & the Grenadines,13.33,-61.18,1220.0
0203-04-,Karisimbi,"Congo, DRC",-1.506,29.45,4490.0
0203-01=,May-ya-moto,"Congo, DRC",-0.93,29.33,950.0
0203-02=,Nyamuragira,"Congo, DRC",-1.408,29.2,3058.0
0203-03=,Nyiragongo,"Congo, DRC",-1.52,29.25,3470.0
0203-08-,Tshibinda,"Congo, DRC",-2.32,28.75,1460.0
0203-05-,Visoke,Rwanda,-1.458,29.485,3696.0
0203-07-,Bufumbira,Uganda,-1.304,29.683,2100.0
0203-004,Bunyaruguru,Uganda,-0.2,30.08,1554.0
0203-001,Fort Portal,Uganda,0.7,30.25,1615.0
0203-005,Katunga,Uganda,-0.471,30.191,1707.0
0203-003,Katwe-Kikorongo,Uganda,-0.08,29.92,1067.0
0203-002,Kyatwa,Uganda,0.45,30.25,1430.0
0203-06-,Muhavura,Uganda,-1.383,29.678,4103.0
0202-03=,"Barrier, The",Kenya,2.32,36.57,1032.0
0202-01=,Central Island,Kenya,3.496,36.04,518.0
0202-13=,Chyulu Hills,Kenya,-2.68,37.88,2188.0
0202-08=,"Eburru, Ol Doinyo",Kenya,-0.65,36.22,2856.0
0202-071,Elmenteita Badlands,Kenya,-0.52,36.27,2126.0
0202-051,Emuruangogolak,Kenya,1.5,36.33,1285.0
0202-07=,Homa Mountain,Kenya,-0.38,34.5,1751.0
0202-054,Korosi,Kenya,0.77,36.12,1446.0
0202-10=,Longonot,Kenya,-0.914,36.446,2776.0
0202-021,Marsabit,Kenya,2.32,37.97,1707.0
0201-33-,Mega Volcanic Field,Kenya,3.971,38.213,1500.0
0202-06=,Menengai,Kenya,-0.2,36.07,2278.0
0202-04-,Namarunu,Kenya,1.98,36.43,817.0
0202-001,North Island,Kenya,4.059,36.049,490.0
0202-056,Nyambeni Hills,Kenya,0.23,37.87,750.0
0202-055,Ol Kokwe,Kenya,0.62,36.075,1130.0
0202-09=,Olkaria,Kenya,-0.904,36.292,2434.0
0202-053,Paka,Kenya,0.92,36.18,1697.0
0202-05-,Segererua Plateau,Kenya,1.57,37.9,699.0
0202-052,Silali,Kenya,1.15,36.23,1528.0
0202-02=,South Island,Kenya,2.63,36.6,800.0
0202-11=,Suswa,Kenya,-1.151,36.357,2356.0
0202-161,Igwisi Hills,Tanzania,-4.889,31.933,1146.0
0202-165,Izumbwe-Mpoli,Tanzania,-8.93,33.4,1568.0
0202-15=,Kilimanjaro,Tanzania,-3.07,37.35,5895.0
0202-17=,Kyejo,Tanzania,-9.229,33.792,2176.0
0202-12=,"Lengai, Ol Doinyo",Tanzania,-2.764,35.914,2962.0
0202-16=,Meru,Tanzania,-3.25,36.75,4565.0
0202-164,Ngozi,Tanzania,-8.989,33.554,2614.0
0202-166,Rungwe,Tanzania,-9.135,33.668,2953.0
0202-163,SW Usangu Basin,Tanzania,-8.75,33.8,2179.0
0202-162,Unnamed,Tanzania,-8.63,33.57,0.0
0205-005,Atakor Volcanic Field,Algeria,23.33,5.83,2918.0
0205-003,In Ezzane Volc Field,Algeria,23.0,10.833,
0205-006,Manzaz Volcanic Field,Algeria,23.92,5.83,1672.0
0205-004,Tahalra Volcanic Field,Algeria,22.67,5.0,1467.0
0205-021,"Koussi, Emi",Chad,19.8,18.53,3415.0
0205-001,Todra Volcanic Field,Chad,17.68,8.5,1780.0
0205-009,"Toh, Tarso",Chad,21.33,16.33,2000.0
0205-01=,"Tousside, Tarso",Chad,21.03,16.45,3265.0
0205-02=,"Voon, Tarso",Chad,20.92,17.28,3100.0
0205-007,Haruj,Libya,27.25,17.5,1200.0
0205-008,Wau-en-Namus,Libya,25.05,17.55,547.0
0205-002,Tin Zaouatene Volcanic Field,Mali,19.83,2.83,700.0
0205-06-,Bayuda Volcanic Field,Sudan,18.33,32.75,670.0
0205-04-,Kutum Volcanic Field,Sudan,14.57,25.85,1779.0
0205-03-,"Marra, Jebel",Sudan,12.95,24.27,3042.0
0205-05-,Meidob Volcanic Field,Sudan,15.32,26.47,2000.0
0205-07-,"Umm Arafieb, Jebel",Sudan,18.17,33.83,0.0
0201-126,Ardoukoba,Djibouti,11.58,42.47,298.0
0201-123,Mousa Alli,Djibouti,12.469,42.404,1993.0
0201-04=,Alid,Eritrea,14.88,39.92,904.0
0201-125,Assab Volcanic Field,Eritrea,12.95,42.43,987.0
0201-10=,Dubbi,Eritrea,13.579,41.809,1625.0
0201-124,Gufa,Eritrea,12.55,42.53,600.0
0201-03=,Jalua,Eritrea,15.042,39.82,713.0
0201-101,Nabro,Eritrea,13.37,41.7,2218.0
0201-17=,Adwa,Ethiopia,10.063,40.831,1670.0
0201-11=,Afdera,Ethiopia,13.088,40.853,1250.0
0201-112,Alayta,Ethiopia,12.888,40.573,1496.0
0201-09=,Ale Bagu,Ethiopia,13.512,40.631,988.0
0201-06=,Alu-Dalafilla,Ethiopia,13.793,40.553,578.0
0201-27-,Alutu,Ethiopia,7.77,38.78,2335.0
0201-104,Asavyo,Ethiopia,13.098,41.599,1338.0
0201-16=,Ayelu,Ethiopia,10.082,40.702,2145.0
0201-191,Beru,Ethiopia,8.95,39.75,1100.0
0201-291,Bilate River Field,Ethiopia,7.07,38.1,1700.0
0201-22-,Bishoftu Volcanic Field,Ethiopia,8.78,38.98,1850.0
0201-071,Bora Ale,Ethiopia,13.725,40.6,668.0
0201-24-,Bora-Bericcio,Ethiopia,8.221,39.05,2267.0
